time,Open,High,Low,Close,Volume
2021-08-11 11:23:00-04:00,57.11,57.11,57.11,57.11,204
2021-08-11 11:24:00-04:00,57.105,57.105,57.105,57.105,207
2021-08-11 11:25:00-04:00,57.12,57.14,57.12,57.14,1002
2021-08-11 11:26:00-04:00,57.13,57.13,57.125,57.125,315
2021-08-11 11:28:00-04:00,57.115,57.12,57.115,57.12,200
2021-08-11 11:29:00-04:00,57.105,57.11,57.105,57.11,715
2021-08-11 11:30:00-04:00,57.115,57.12,57.115,57.12,547
2021-08-11 11:31:00-04:00,57.13,57.13,57.13,57.13,815
2021-08-11 11:32:00-04:00,57.13,57.13,57.11,57.11,305
2021-08-11 11:33:00-04:00,57.105,57.105,57.09,57.09,250
2021-08-11 11:34:00-04:00,57.095,57.1,57.085,57.085,300
2021-08-11 11:36:00-04:00,57.085,57.09,57.085,57.09,2030
2021-08-11 11:37:00-04:00,57.085,57.085,57.085,57.085,115
2021-08-11 11:38:00-04:00,57.075,57.08,57.075,57.08,659
2021-08-11 11:39:00-04:00,57.065,57.085,57.06,57.08,5869
2021-08-11 11:40:00-04:00,57.09,57.09,57.09,57.09,192
2021-08-11 11:41:00-04:00,57.09,57.09,57.09,57.09,100
2021-08-11 11:42:00-04:00,57.095,57.1,57.09,57.09,830
2021-08-11 11:43:00-04:00,57.08,57.12,57.08,57.12,720
2021-08-11 11:44:00-04:00,57.125,57.125,57.12,57.12,262
2021-08-11 11:45:00-04:00,57.1,57.1,57.1,57.1,111
2021-08-11 11:46:00-04:00,57.11,57.11,57.11,57.11,180
2021-08-11 11:47:00-04:00,57.115,57.115,57.11,57.115,300
2021-08-11 11:48:00-04:00,57.12,57.12,57.115,57.12,1121
2021-08-11 11:49:00-04:00,57.12,57.12,57.11,57.11,1068
2021-08-11 11:50:00-04:00,57.115,57.14,57.115,57.14,1910
2021-08-11 11:51:00-04:00,57.15,57.15,57.15,57.15,300
2021-08-11 11:52:00-04:00,57.155,57.16,57.15,57.15,400
2021-08-11 11:53:00-04:00,57.145,57.145,57.145,57.145,501
2021-08-11 11:56:00-04:00,57.125,57.125,57.125,57.125,103
2021-08-11 11:58:00-04:00,57.11,57.11,57.11,57.11,104
2021-08-11 11:59:00-04:00,57.115,57.12,57.115,57.12,1217
2021-08-11 12:00:00-04:00,57.13,57.13,57.13,57.13,117
2021-08-11 12:01:00-04:00,57.115,57.115,57.105,57.105,649
